From	To
Q9P2R7	SUCLA2
P61086	UBE2K
P09936	UCHL1
P31930	UQCRC1
Q96PU4	UHRF2
O14949	UQCRQ
P42704	LRPPRC
Q92947	GCDH
P30837	ALDH1B1
Q14376	GALE
P19404	NDUFV2
Q9P0J0	NDUFA13
Q15070	OXA1L
P17568	NDUFB7
P28331	NDUFS1
Q8NBU5	ATAD1
P21912	SDHB
Q86V21	AACS
P05166	PCCB
O75489	NDUFS3
P24752	ACAT1
Q9Y6M9	NDUFB9
P36957	DLST
Q16134	ETFDH
P35914	HMGCL
Q99798	ACO2
Q9UBX3	SLC25A10
O00217	NDUFS8
Q3ZCQ8	TIMM50
Q16795	NDUFA9
O75251	NDUFS7
O95139	NDUFB6
O95169	NDUFB8
Q02218	OGDH
O95168	NDUFB4
P31040	SDHA
O43674	NDUFB5
P49753	ACOT2
